pgb-index-contact-complex-down;sent;name;value;lemma;pos;feats;asp;Trans;Event;Process
pgb-index-contact-complex-down;I would PGB-index-contact-complex-down say that would be when he is getting released PGE.;w1;say;say;VERB;VerbForm=Inf;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-complex-down;So PGB-index-nocontact-simple-down maybe he PGE PGB-index-nocontact-complex-down is saying something PGE about PGB-index-nocontact-simple-down the girl PGE to the other guy.;w2;saying;say;VERB;VerbForm=Ger;progressive;Transitive;card;Mental
pgb-index-contact-complex-down;She is PGE PGB-index-contact-complex-down reporting that to the police PGE.;w1;reporting;report;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-nocontact-complex-vertical;Kind of PGB-index-nocontact-complex-vertical remembering PGE how beautiful his family is.;w1;remembering;remember;VERB;VerbForm=Ger;progressive;Transitive;card;Mental
pgb-index-contact-complex-down;I would PGB-index-contact-complex-down say that would be when he is getting released PGE.;w9;released;release;VERB;Tense=Past|VerbForm=Part|Voice=Pass;non.progressive;Transitive;card;Material 
pgb-palm-contact-complex-up;Maybe PGB-palm-contact-complex-down when you know PGE PGB-index-contact-simple-down he is proud of PGE himself because PGB-palm-contact-complex-up he has rejected PGE alcohol and getting his life back on track.;w3;rejected;reject;VERB;Tense=Past|VerbForm=Part;non.progressive;Transitive;card;Mental
pgb-index-nocontact-complex-down;And PGB-index-nocontact-simple-down the baby the PGE PGB-index-nocontact-complex-down kid is reaching down PGE for another coconut.;w3;reaching;reach;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-simple-down;I wonder PGB-index-contact-simple-down if he could be praying in that one PGE.;w5;praying;pray;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Mental
pgb-index-nocontact-complex-down;And this guy PGE PGB-index-nocontact-complex-down observed his friend girlfriend stroking some man arm PGE.;w1;observed;observe;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-index-contact-simple-down;And maybe PGB-index-contact-simple-down he was meant PGE to be and he went somewhere else.;w3;meant;mean;VERB;Tense=Past|VerbForm=Part;non.progressive;Transitive;card;Mental
pgb-index-nocontact-simple-down;PGB-index-nocontact-complex-down Because the PGE PGB-index-nocontact-simple-down I mean PGE.;w2;mean;mean;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-complex-down;And it is PGB-index-contact-complex-down making him PGE cross and angry.;w1;making;make;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-other-nocontact-simple-down;But uhm PGE PGB-other-nocontact-simple-down this other person who is coming into the picture he looks pretty PGE happy to talk to them about something I suppose.;w11;looks;look;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-index-contact-simple-down;He he PGB-index-contact-simple-down definitely looked older though than PGE PGB-index-nocontact-simple-down than even here.;w2;looked;look;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Intransitive;meta;Mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down Cause he looks PGE a bit worse from where.;w3;looks;look;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Looks PGE like the baby might even fall.;w1;looks;look;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-complex-down;Yeah and PGB-index-contact-complex-down looks like there is like some barbed wire over here PGE.;w1;looks;look;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-index-contact-complex-down;Before going home PGE PGB-index-contact-complex-down but just kind of just leaving PGE.;w6;leaving;leave;VERB;VerbForm=Ger;progressive;Transitive;card;Mental
pgb-index-nocontact-simple-vertical;And PGB-index-nocontact-simple-vertical that somehow led him PGE to this PGB-index-nocontact-simple-down grim PGE situation.;w3;led;lead;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-index-contact-simple-down;That PGB-index-contact-simple-down leads up to PGE this.;w1;leads;lead;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;But how he goes PGB-index-contact-simple-down from there PGE PGB-index-contact-complex-down to here PGE PGB-index-contact-simple-down or came from here to there I do not know PGE.;w10;know;know;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-palm-contact-complex-down;Maybe PGB-palm-contact-complex-down when you know PGE PGB-index-contact-simple-down he is proud of PGE himself because PGB-palm-contact-complex-up he has rejected PGE alcohol and getting his life back on track.;w3;know;know;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-simple-vertical;So I guess PGB-index-nocontact-simple-vertical the old man is someone is you know PGE like they are related right.;w8;know;know;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-other-contact-simple-down;There might be PGB-other-nocontact-complex-down either PGE you PGB-other-contact-simple-down know another blanket in the corner PGE or he is PGB-other-contact-simple-down sitting on PGE the only means of comfort in his cell.;w1;know;know;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-nocontact-complex-down;Yeah now PGB-index-nocontact-complex-down they are interrogating him PGE.;w3;interrogating;interrogate;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-contact-simple-down;So this is his like PGE PGB-index-contact-simple-down hope to get through PGE.;w1;hope;hope;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-index-nocontact-simple-down;Why do not PGB-index-nocontact-simple-down you hold it PGE?;w2;hold;hold;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Material 
pgb-index-nocontact-simple-vertical;His side of PGE PGB-index-nocontact-complex-down the gossip PGE PGB-index-nocontact-simple-vertical that he heard and PGE then obviously PGB-index-nocontact-simple-down her PGE.;w3;heard;hear;VERB;Tense=Past|VerbForm=Part;non.progressive;Transitive;card;Mental
pgb-index-nocontact-complex-vertical;I think that yeah he is PGB-palm-nocontact-simple-vertical definitely PGE just listening PGB-index-nocontact-complex-vertical hearing the PGE whole story.;w1;hearing;hear;VERB;VerbForm=Ger;progressive;Transitive;card;Mental
pgb-index-contact-complex-down;About what PGB-index-contact-complex-down he has just PGE done.;w2;has;have;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Material 
pgb-index-contact-simple-down;Because PGB-index-contact-simple-down he has his PGE.;w2;has;have;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Material 
pgb-palm-contact-simple-vertical;He does manage PGB-palm-contact-simple-vertical to have some relationship with his child obviously PGE.;w2;have;have;VERB;VerbForm=Inf;non.progressive;Transitive;card;Material 
pgb-other-nocontact-simple-down;I think he PGB-other-nocontact-simple-down actually has a little PGE bruise too.;w2;has;have;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Material 
pgb-palm-contact-complex-up;Maybe PGB-palm-contact-complex-down when you know PGE PGB-index-contact-simple-down he is proud of PGE himself because PGB-palm-contact-complex-up he has rejected PGE alcohol and getting his life back on track.;w2;has;have;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-index-contact-simple-down;No PGB-index-contact-simple-down he has a beard PGE.;w2;has;have;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Material 
pgb-palm-contact-simple-down;PGB-palm-contact-simple-down Working PGE PGB-palm-contact-simple-down having fun PGE PGB-palm-contact-simple-down with his family PGE.;w1;having;have;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-palm-contact-complex-down;So like PGB-index-contact-complex-down these two look like they have been busy at work PGE.;w6;have;have;VERB;VerbForm=Inf;non.progressive;Transitive;card;Mental
pgb-index-contact-complex-down;They all PGB-index-contact-simple-down yeah PGE PGB-index-contact-complex-down they all have got drinks PGE.;w3;have;have;VERB;VerbForm=Inf;non.progressive;Transitive;card;Material 
pgb-index-contact-simple-down;They PGB-index-contact-simple-down have their son PGE.;w1;have;have;VERB;VerbForm=Inf;non.progressive;Transitive;card;Material 
pgb-index-contact-complex-down;This is before because he PGE PGB-index-contact-complex-down has dirty PGE clothes on.;w1;has;have;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Material 
pgb-index-contact-simple-down;What does PGB-index-contact-simple-down he have on his back though PGE.;w2;have;have;VERB;VerbForm=Inf;non.progressive;Transitive;card;Material 
pgb-palm-contact-complex-down;Yeah where PGB-palm-contact-complex-down hey have their PGE kind of life together.;w2;have;have;VERB;VerbForm=Inf;non.progressive;Transitive;card;Mental
pgb-index-contact-complex-down;I mean PGE PGB-palm-nocontact-simple-down this PGE PGB-index-contact-complex-down the actually beating itself definitely happened while the kid was a child PGE.;w6;happened;happen;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-index-nocontact-simple-down;I was thinking I PGB-index-contact-complex-down thought it was on the night PGE that it PGB-index-nocontact-simple-down happened PGE and he was saying;w1;happened;happen;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-palm-contact-simple-down;I would guess PGB-palm-contact-simple-down this one happened first PGE.;w3;happened;happen;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-index-contact-complex-down;Maybe PGB-index-contact-complex-down it happened shortly PGE after this.;w2;happened;happen;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-index-nocontact-simple-down;So PGB-other-nocontact-complex-down this must be the moment PGE PGB-index-nocontact-simple-down that it actually happened PGE.;w4;happened;happen;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Intransitive;card;Mental
pgb-palm-contact-complex-down;We do not know PGB-index-contact-complex-down what happens PGE.;w2;happens;happen;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-palm-nocontact-simple-up;I feel that uhm yeah both are-- I PGB-palm-nocontact-simple-up guess the mom PGE and the other little kid are not so happy about whatever happened.;w1;guess;guess;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;Yep I PGB-index-contact-simple-down guess PGE.;w1;guess;guess;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;He is PGB-index-contact-simple-down happy to go PGE back.;w3;go;go;VERB;VerbForm=Inf;non.progressive;Intransitive;card;Material 
pgb-other-contact-complex-down;Right PGB-other-contact-complex-down going toward PGE actually.;w1;going;go;VERB;VerbForm=Ger;progressive;Intransitive;card;Material 
pgb-index-nocontact-simple-down;You can tell PGB-index-nocontact-complex-down by the state of his clothing PGE PGB-index-nocontact-simple-down that he is PGE PGB-index-nocontact-simple-down going off to his PGE his court date or whatever.;w1;going;go;VERB;VerbForm=Ger;progressive;Intransitive;card;Material 
pgb-index-nocontact-complex-down;And PGB-index-nocontact-complex-down he is giving them PGE up to what looks like a police officer.;w3;giving;give;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-nocontact-simple-vertical;She PGB-index-nocontact-simple-vertical gave her PGE version of events.;w1;gave;give;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Transitive;card;Material 
pgb-palm-nocontact-simple-vertical;They PGB-palm-nocontact-simple-vertical did not even give him PGE a shirt.;w4;give;give;VERB;VerbForm=Inf;non.progressive;Transitive;card;Material 
pgb-index-contact-complex-down;But he has PGB-index-contact-complex-down got the handcuffs PGE on so.;w1;got;get;VERB;Tense=Past|VerbForm=Part;non.progressive;Transitive;card;Material 
pgb-index-nocontact-simple-down;He has PGB-index-nocontact-simple-down got this chain on his leg PGE.;w1;got;get;VERB;Tense=Past|VerbForm=Part;non.progressive;Transitive;card;Material 
pgb-index-contact-complex-down;I would PGB-index-contact-complex-down say that would be when he is getting released PGE.;w8;getting;get;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-palm-nocontact-complex-down;If PGB-index-nocontact-complex-down we get down PGE.;w2;get;get;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-palm-nocontact-simple-down;It is consistent PGE until PGB-index-nocontact-simple-down it gets to these PGE ones.;w2;gets;get;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-simple-down;So this is his like PGE PGB-index-contact-simple-down hope to get through PGE.;w3;get;get;VERB;Mood=Ind|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-index-contact-complex-down;They all PGB-index-contact-simple-down yeah PGE PGB-index-contact-complex-down they all have got drinks PGE.;w4;got;get;VERB;Tense=Past|VerbForm=Part;non.progressive;Transitive;card;Material 
pgb-index-contact-complex-down;Well he is PGB-index-contact-complex-down obviously getting PGE PGB-index-contact-simple-vertical beaten PGE in jail.;w2;getting;get;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-other-nocontact-complex-down;Which might be a PGB-other-nocontact-complex-down bit of flirting PGE right.;w3;flirting;flirt;VERB;VerbForm=Ger;progressive;Intransitive;card;Mental
pgb-palm-contact-complex-down;Like PGB-palm-contact-complex-down explaining PGE his thought process.;w1;explaining;explain;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-contact-simple-down;She PGB-index-contact-simple-down is explaining PGE PGB-index-contact-complex-down what is happening.;w2;explaining;explain;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Mental
pgb-index-contact-simple-down;Well alcohol PGB-index-contact-simple-down explains jealous PGE.;w1;explains;explain;VERB;Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin;non.progressive;Transitive;meta;Mental
pgb-palm-contact-complex-down;And he is PGB-palm-contact-complex-down enjoying the feeling PGE.;w1;enjoying;enjoy;VERB;VerbForm=Ger;progressive;Transitive;card;Mental
pgb-palm-nocontact-complex-vertical;So PGB-palm-nocontact-complex-vertical he is dreaming PGE that his son will come running at him.;w3;dreaming;dream;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Mental
pgb-index-contact-complex-down;She PGB-index-contact-simple-down he is doing their work carrying the thing PGE.;w3;doing;do;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-simple-down;But how he goes PGB-index-contact-simple-down from there PGE PGB-index-contact-complex-down to here PGE PGB-index-contact-simple-down or came from here to there I do not know PGE.;w2;came;come;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Intransitive;card;Material 
pgb-other-nocontact-simple-down;But uhm PGE PGB-other-nocontact-simple-down this other person who is coming into the picture he looks pretty PGE happy to talk to them about something I suppose.;w6;coming;come;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Material 
pgb-index-nocontact-simple-vertical;It is PGB-index-nocontact-simple-vertical him coming PGE out.;w2;coming;come;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Material 
pgb-palm-contact-complex-down;Obviously he PGB-palm-contact-complex-down does come PGE.;w2;come;come;VERB;VerbForm=Inf;non.progressive;Intransitive;card;Material 
pgb-index-contact-complex-down;So like PGB-index-contact-complex-down light coming PGE through his window.;w2;coming;come;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Material 
pgb-other-contact-simple-down;Uhm it looks like the guy PGB-other-contact-simple-down who is coming PGE has his arms out.;w3;coming;come;VERB;Tense=Pres|VerbForm=Part;progressive;Intransitive;card;Material 
pgb-index-contact-simple-down;Has he actually PGB-index-contact-simple-down changed or PGE is it just because his son s there.;w1;changed;change;VERB;Mood=Ind|Tense=Past|VerbForm=Fin;non.progressive;Transitive;card;Mental
pgb-index-contact-complex-down;He is PGB-index-contact-simple-down carrying home PGE PGB-index-contact-complex-down whatever these PGE they are picking here.;w1;carrying;carry;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-simple-down;She PGB-index-contact-simple-down he is doing their work carrying the thing PGE.;w6;carrying;carry;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-complex-down;What do you PGB-index-contact-simple-down think he is carrying PGE;w4;carrying;carry;VERB;Tense=Pres|VerbForm=Part;progressive;Transitive;card;Material 
pgb-index-contact-simple-vertical;Well he is PGB-index-contact-complex-down obviously getting PGE PGB-index-contact-simple-vertical beaten PGE in jail.;w1;beaten;beaten;VERB;Tense=Past|VerbForm=Part|Voice=Pass;non.progressive;Transitive;card;Material 
pgb-index-contact-complex-down;I mean PGE PGB-palm-nocontact-simple-down this PGE PGB-index-contact-complex-down the actually beating itself definitely happened while the kid was a child PGE.;w3;beating;beat;VERB;VerbForm=Ger;progressive;Transitive;card;Material 
pgb-index-nocontact-complex-down;And PGB-index-contact-complex-down he is definitely PGE PGB-index-nocontact-complex-down acting like he should be PGE angry with the finger pointing and all, Oh yeah.;w1;acting;act;VERB;VerbForm=Ger;progressive;Intransitive;card;Material 
