slot	token	lemma	l_freq_corp	l_freq_w_point	token_freq_corp
w2	они	они	119	30	84
w3	немножко	немножко	3	1	3
w4	похожи	похожий	6	4	4
w5	pge	pge	544	481	544
w2	родители	родитель	2	1	3
w3	явно	явно	35	12	38
w4	не	не	270	32	271
w5	pge	pge	544	481	544
w2	мне	я	159	14	64
w3	кажется	казаться	39	7	39
w4	у	у	78	23	78
w5	них	они	119	30	19
w6	pge	pge	544	481	544
w2	они	они	119	30	84
w3	очень	очень	24	3	24
w4	похожи	похожий	6	4	4
w5	с	с	55	18	54
w6	этим	это	290	10	3
w7	pge	pge	544	481	544
w2	тоже	тоже	40	13	40
w3	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	уже	уже	44	14	44
w4	pge	pge	544	481	544
w2	он	он	570	142	350
w3	стоит	стоять	1	1	1
w4	тут	тут	94	32	94
w5	pge	pge	544	481	544
w2	там	там	77	14	79
w3	вроде	вроде	7	1	7
w4	как	как	121	18	119
w5	свобода	свобода	10	1	2
w6	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	pge	pge	544	481	544
w2	еще	еще	55	8	57
w3	pge	pge	544	481	544
w2	ни	ни	5	4	5
w3	то	то	219	27	186
w4	pge	pge	544	481	544
w2	ни	ни	5	4	5
w3	это	этот	123	113	321
w4	pge	pge	544	481	544
w2	так	так	129	15	129
w3	все	всё	77	16	131
w4	таки	таки	12	3	12
w5	это	этот	123	113	321
w6	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	pge	pge	544	481	544
w2	есть	быть	289	33	133
w3	еда	еда	3	1	2
w4	pge	pge	544	481	544
w2	такие	такой	75	10	10
w3	как	как	121	18	119
w4	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	pge	pge	544	481	544
w2	туда	туда	4	2	4
w3	pge	pge	544	481	544
w2	они	они	119	30	84
w3	видимо	видимо	18	4	18
w4	уже	уже	44	14	44
w5	pge	pge	544	481	544
w2	что	что	258	54	251
w3	либо	либо	21	2	21
w4	это	этот	123	113	321
w5	pge	pge	544	481	544
w2	его	он	570	142	93
w3	отец	отец	9	6	7
w4	pge	pge	544	481	544
w2	который	который	32	12	15
w3	рассказывает	рассказывать	29	7	23
w4	ему	он	570	142	64
w5	pgb	pgb	548	3	548
w6	как	как	121	18	119
w7	pgb	pgb	548	3	548
w8	они	они	119	30	84
w9	познакомились	познакомиться	4	3	4
w10	с	с	55	18	54
w11	его	он	570	142	93
w12	мамой	мама	4	1	1
w13	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	он	он	570	142	350
w5	похож	похожий	6	4	3
w6	pge	pge	544	481	544
w2	на	на	100	20	99
w3	этого	это	290	10	16
w4	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	тут	тут	94	32	94
w4	он	он	570	142	350
w5	выглядит	выглядеть	11	2	6
w6	старше	старый	3	1	1
w7	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	уже	уже	44	14	44
w4	бороду	бород	2	1	1
w5	отрастил	отрастить	1	1	1
w6	pge	pge	544	481	544
w2	и	и	198	32	198
w3	рассказывает	рассказывать	29	7	23
w4	ему	он	570	142	64
w5	историю	история	19	3	7
w6	их	их	12	3	14
w7	знакомства	знакомство	1	1	1
w8	pge	pge	544	481	544
w2	ему	он	570	142	64
w3	чтото	NA	NA	29	NA
w4	не	не	270	32	271
w5	нравится	нравиться	15	2	13
w6	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	его	он	570	142	93
w4	друг	друг	7	2	2
w5	pge	pge	544	481	544
w2	который	который	32	12	15
w3	рассказывает	рассказывать	29	7	23
w4	этому	это	290	10	1
w5	pge	pge	544	481	544
w2	он	он	570	142	350
w3	видел	видеть	37	12	4
w4	его	он	570	142	93
w5	девушку	девушка	10	7	4
w6	pge	pge	544	481	544
w2	с	с	55	18	54
w3	другими	другой	15	1	2
w4	pge	pge	544	481	544
w2	и	и	198	32	198
w3	он	он	570	142	350
w4	pge	pge	544	481	544
w2	а	а	141	26	143
w3	погоди	погоди	1	1	1
w4	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	же	же	44	16	44
w4	вот	вот	221	56	221
w5	этот	этот	123	113	28
w6	парень	парень	11	6	8
w7	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	видишь	видеть	37	12	16
w4	pge	pge	544	481	544
w2	он	он	570	142	350
w3	так	так	129	15	129
w4	смотрит	смотреть	7	3	4
w5	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	он	он	570	142	350
w4	это	этот	123	113	321
w5	pge	pge	544	481	544
w2	полюбому	NA	NA	29	NA
w3	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	pge	pge	544	481	544
w2	та	то	219	27	8
w3	же	же	44	16	44
w4	самая	самый	42	12	3
w5	девушка	девушка	10	7	7
w6	pge	pge	544	481	544
w2	и	и	198	32	198
w3	это	этот	123	113	321
w4	этот	этот	123	113	28
w5	парень	парень	11	6	8
w6	pge	pge	544	481	544
w2	наверное	наверное	51	10	51
w3	в	в	159	26	159
w4	тюрьму	тюрьма	41	8	14
w5	и	и	198	32	198
w6	попал	попадать	7	2	6
w7	pge	pge	544	481	544
w2	он	он	570	142	350
w3	избил	избить	16	3	12
w4	ее	она	93	22	28
w5	pge	pge	544	481	544
w2	она	она	93	22	53
w3	пошла	пойти	12	5	3
w4	pge	pge	544	481	544
w2	он	он	570	142	350
w3	pge	pge	544	481	544
w2	наверное	наверное	51	10	51
w3	ее	она	93	22	28
w4	ударил	ударить	9	2	6
w5	за	за	25	1	25
w6	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	он	он	570	142	350
w4	и	и	198	32	198
w5	pge	pge	544	481	544
w2	экзотическая	экзотический	2	1	1
w3	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	тот	тот	31	11	15
w4	же	же	44	16	44
w5	самый	самый	42	12	11
w6	pge	pge	544	481	544
w2	смотри	смотри	20	13	25
w3	тут	тут	94	32	94
w4	он	он	570	142	350
w5	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	тыквы	тыква	6	1	6
w4	pge	pge	544	481	544
w2	думаешь	думаешь	3	1	3
w3	его	он	570	142	93
w4	жена	жена	14	6	14
w5	с	с	55	18	54
w6	ребенком	ребенок	43	9	3
w7	стала	стать	6	1	2
w8	бы	бы	61	14	77
w9	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	там	там	77	14	79
w4	же	же	44	16	44
w5	была	быть	289	33	13
w6	pge	pge	544	481	544
w2	от	от	11	3	11
w3	него	он	570	142	43
w4	pge	pge	544	481	544
w2	она	она	93	22	53
w3	могла	мочь	62	12	2
w4	быть	быть	289	33	45
w5	счастлива	счастлив	19	4	1
w6	pge	pge	544	481	544
w2	у	у	78	23	78
w3	него	он	570	142	43
w4	было	быть	289	33	42
w5	отрицание	отрицание	1	1	1
w6	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	он	он	570	142	350
w4	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	наверное	наверное	51	10	51
w4	pge	pge	544	481	544
w2	да	да	387	14	392
w3	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	это	этот	123	113	321
w4	явно	явно	35	12	38
w5	до	до	9	1	9
w6	pge	pge	544	481	544
w2	он	он	570	142	350
w3	ее	она	93	22	28
w4	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	он	он	570	142	350
w4	рассказывает	рассказывать	29	7	23
w5	pge	pge	544	481	544
w2	и	и	198	32	198
w3	тут	тут	94	32	94
w4	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	мальчик	мальчик	20	8	10
w4	pge	pge	544	481	544
w2	воспринимает	воспринимать	1	1	1
w3	pge	pge	544	481	544
w2	он	он	570	142	350
w3	ей	она	93	22	10
w4	pge	pge	544	481	544
w2	что	что	258	54	251
w3	pge	pge	544	481	544
w2	видишь	видеть	37	12	16
w3	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	смотри	смотри	20	13	25
w4	главное	главный	2	1	1
w5	этот	этот	123	113	28
w6	дедок	дедка	1	1	1
w7	еще	еще	55	8	57
w8	там	там	77	14	79
w9	pge	pge	544	481	544
w2	же	же	44	16	44
w3	говорила	говорить	16	5	1
w4	они	они	119	30	84
w5	pge	pge	544	481	544
w2	судя	судить	6	3	6
w3	по	по	22	6	22
w4	всему	всё	77	16	4
w5	pge	pge	544	481	544
w2	потому	потом	64	19	30
w3	что	что	258	54	251
w4	его	он	570	142	93
w5	взяли	взять	3	1	1
w6	допустим	допусто	1	2	2
w7	pge	pge	544	481	544
w2	и	и	198	32	198
w3	они	они	119	30	84
w4	полностью	полностью	1	1	1
w5	одеты	одеть	1	1	1
w6	pge	pge	544	481	544
w2	какбы	NA	NA	29	NA
w3	не	не	270	32	271
w4	понятно	понятно	18	4	14
w5	во	во	3	1	3
w6	что	что	258	54	251
w7	pge	pge	544	481	544
w2	он	он	570	142	350
w3	может	мочь	62	12	52
w4	pge	pge	544	481	544
w2	как	как	121	18	119
w3	бомж	бомж	2	1	2
w4	слегка	слегка	3	1	3
w5	pge	pge	544	481	544
w2	я	я	159	14	80
w3	думаю	думать	44	10	17
w4	что	что	258	54	251
w5	в	в	159	26	159
w6	тюрьме	тюрьма	41	8	12
w7	они	они	119	30	84
w8	наверное	наверное	51	10	51
w9	все	всё	77	16	131
w10	таки	таки	12	3	12
w11	выдают	выдавать	6	4	9
w12	pge	pge	544	481	544
w2	ему	он	570	142	64
w3	сейчас	сейчас	11	5	11
w4	выдают	выдавать	6	4	9
w5	pge	pge	544	481	544
w2	он	он	570	142	350
w3	как	как	121	18	119
w4	раз	раз	8	1	8
w5	наоборот	наоборот	1	1	1
w6	pge	pge	544	481	544
w2	или	или	35	5	35
w3	чтото	NA	NA	29	NA
w4	pge	pge	544	481	544
w2	хочет	хотеть	12	2	7
w3	может	мочь	62	12	52
w4	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	pge	pge	544	481	544
w2	все	всё	77	16	131
w3	равно	равно	2	1	3
w4	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	он	он	570	142	350
w4	pge	pge	544	481	544
w2	окей	окей	24	2	24
w3	pge	pge	544	481	544
w2	предположение	предположение	3	1	3
w3	одно	один	15	5	1
w4	pge	pge	544	481	544
w2	что	что	258	54	251
w3	это	этот	123	113	321
w4	что	что	258	54	251
w5	он	он	570	142	350
w6	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	его	он	570	142	93
w4	девушка	девушка	10	7	7
w5	pge	pge	544	481	544
w2	которая	который	32	12	3
w3	пришла	прийти	18	6	3
w4	pge	pge	544	481	544
w2	так	так	129	15	129
w3	понимаю	понимать	14	3	7
w4	что	что	258	54	251
w5	это	этот	123	113	321
w6	один	один	15	5	8
w7	человек	человек	31	7	14
w8	pge	pge	544	481	544
w2	ты	ты	42	5	33
w3	как	как	121	18	119
w4	считаешь	считаешь	2	2	2
w5	pge	pge	544	481	544
w2	ты	ты	42	5	33
w3	считаешь	считаешь	2	2	2
w4	что	что	258	54	251
w5	это	этот	123	113	321
w6	pge	pge	544	481	544
w2	он	он	570	142	350
w3	pge	pge	544	481	544
w2	или	или	35	5	35
w3	это	этот	123	113	321
w4	он	он	570	142	350
w5	pge	pge	544	481	544
w2	думаю	думать	44	10	17
w3	что	что	258	54	251
w4	pge	pge	544	481	544
w2	прикован	приковать	1	1	1
w3	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	был	быть	289	33	22
w4	pge	pge	544	481	544
w2	сначала	сначала	9	2	9
w3	подумала	подумать	3	1	2
w4	что	что	258	54	251
w5	это	этот	123	113	321
w6	могло	мочь	62	12	3
w7	бы	бы	61	14	77
w8	быть	быть	289	33	45
w9	pge	pge	544	481	544
w2	а	а	141	26	143
w3	это	этот	123	113	321
w4	что	что	258	54	251
w5	а	а	141	26	143
w6	окей	окей	24	2	24
w7	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	его	он	570	142	93
w4	это	этот	123	113	321
w5	его	он	570	142	93
w6	сын	сын	10	3	8
w7	pge	pge	544	481	544
w2	он	он	570	142	350
w3	отказывается	отказываться	4	1	4
w4	от	от	11	3	11
w5	алкоголя	алкоголь	7	3	5
w6	pge	pge	544	481	544
w2	он	он	570	142	350
w3	не	не	270	32	271
w4	хочет	хотеть	12	2	7
w5	уже	уже	44	14	44
w6	с	с	55	18	54
w7	этими	этот	123	113	3
w8	людьми	человек	31	7	2
w9	вообще	вообще	17	6	17
w10	pge	pge	544	481	544
w2	и	и	198	32	198
w3	сын	сын	10	3	8
w4	смотрит	смотреть	7	3	4
w5	pge	pge	544	481	544
w2	на	на	100	20	99
w3	это	этот	123	113	321
w4	все	всё	77	16	131
w5	тоже	тоже	40	13	40
w6	какбы	NA	NA	29	NA
w7	pge	pge	544	481	544
w2	как	как	121	18	119
w3	он	он	570	142	350
w4	pge	pge	544	481	544
w2	мне	я	159	14	64
w3	кажется	казаться	39	7	39
w4	что	что	258	54	251
w5	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	этот	этот	123	113	28
w4	человек	человек	31	7	14
w5	он	он	570	142	350
w6	pge	pge	544	481	544
w2	здесь	здесь	17	4	17
w3	еще	еще	55	8	57
w4	алкоголь	алкоголь	7	3	2
w5	присутствует	присутствовать	1	1	2
w6	pge	pge	544	481	544
w2	я	я	159	14	80
w3	не	не	270	32	271
w4	знаю	знать	50	3	41
w5	что	что	258	54	251
w6	делает	делать	4	2	2
w7	вот	вот	221	56	221
w8	этот	этот	123	113	28
w9	pge	pge	544	481	544
w2	но	но	39	3	39
w3	вот	вот	221	56	221
w4	этот	этот	123	113	28
w5	вот	вот	221	56	221
w6	в	в	159	26	159
w7	полосатом	полосат	1	1	1
w8	он	он	570	142	350
w9	pge	pge	544	481	544
w2	которая	который	32	12	3
w3	произошла	произоидти	1	1	1
w4	вот	вот	221	56	221
w5	у	у	78	23	78
w6	этого	это	290	10	16
w7	pge	pge	544	481	544
w2	с	с	55	18	54
w3	какойто	NA	NA	29	NA
w4	женщиной	женщина	9	5	3
w5	pge	pge	544	481	544
w2	они	они	119	30	84
w3	так	так	129	15	129
w4	дружелюбно	дружелюбно	2	1	2
w5	общаются	общаться	2	2	1
w6	pge	pge	544	481	544
w2	не	не	270	32	271
w3	доволен	довоить	2	1	2
w4	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	этим	это	290	10	3
w4	общением	общение	1	1	1
w5	pge	pge	544	481	544
w2	между	между	7	1	7
w3	мужчиной	мужчина	6	3	2
w4	и	и	198	32	198
w5	женщиной	женщина	9	5	3
w6	pge	pge	544	481	544
w2	в	в	159	26	159
w3	общем	общий	17	3	29
w4	pge	pge	544	481	544
w2	они	они	119	30	84
w3	дают	давать	3	1	2
w4	показания	показание	2	1	2
w5	pge	pge	544	481	544
w2	обвиняемый	обвинять	3	2	1
w3	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	жертва	жертва	1	1	1
w4	она	она	93	22	53
w5	рассказывает	рассказывать	29	7	23
w6	pge	pge	544	481	544
w2	ее	она	93	22	28
w3	били	бить	10	2	2
w4	pge	pge	544	481	544
w2	смотри	смотри	20	13	25
w3	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	этот	этот	123	113	28
w4	полосатый	полосатый	1	1	1
w5	уже	уже	44	14	44
w6	был	быть	289	33	22
w7	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	просто	просто	18	2	22
w4	ракурс	ракурс	2	1	2
w5	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	у	у	78	23	78
w4	него	он	570	142	43
w5	тут	тут	94	32	94
w6	pge	pge	544	481	544
w2	что	что	258	54	251
w3	с	с	55	18	54
w4	ним	он	570	142	16
w5	будет	быть	289	33	21
w6	pge	pge	544	481	544
w2	либо	либо	21	2	21
w3	вот	вот	221	56	221
w4	он	он	570	142	350
w5	думает	думать	44	10	17
w6	pge	pge	544	481	544
w2	да	да	387	14	392
w3	pge	pge	544	481	544
w2	или	или	35	5	35
w3	он	он	570	142	350
w4	думает	думать	44	10	17
w5	pge	pge	544	481	544
w2	я	я	159	14	80
w3	думаю	думать	44	10	17
w4	да	да	387	14	392
w5	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	они	они	119	30	84
w4	идут	идти	13	3	6
w5	по	по	22	6	22
w6	улице	улица	1	1	1
w7	pge	pge	544	481	544
w2	и	и	198	32	198
w3	его	он	570	142	93
w4	вот	вот	221	56	221
w5	эти	этот	123	113	14
w6	друганы	друган	2	2	2
w7	pge	pge	544	481	544
w2	ну	ну	344	25	337
w3	да	да	387	14	392
w4	на	на	100	20	99
w5	них	они	119	30	19
w6	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	у	у	78	23	78
w4	него	он	570	142	43
w5	в	в	159	26	159
w6	руках	рука	15	2	2
w7	pge	pge	544	481	544
w2	они	они	119	30	84
w3	недовольны	недовольть	1	1	2
w4	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	его	он	570	142	93
w4	жена	жена	14	6	14
w5	которую	который	32	12	2
w6	он	он	570	142	350
w7	побил	побить	5	2	5
w8	pge	pge	544	481	544
w2	а	а	141	26	143
w3	это	этот	123	113	321
w4	туалет	туалть	1	1	2
w5	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	да	да	387	14	392
w4	котомка	котомок	1	1	1
w5	у	у	78	23	78
w6	него	он	570	142	43
w7	pge	pge	544	481	544
w2	пришел	прийти	18	6	12
w3	домой	домой	6	2	6
w4	с	с	55	18	54
w5	пьянки	пьянка	2	1	2
w6	pge	pge	544	481	544
w2	a	a	2	1	2
w3	pge	pge	544	481	544
w2	какойто	NA	NA	29	NA
w3	мужик	мужик	10	5	8
w4	pge	pge	544	481	544
w2	поняла	поняла	1	2	2
w3	pge	pge	544	481	544
w2	да	да	387	14	392
w3	pge	pge	544	481	544
w2	да	да	387	14	392
w3	в	в	159	26	159
w4	общем	общий	17	3	29
w5	он	он	570	142	350
w6	пришел	прийти	18	6	12
w7	домой	домой	6	2	6
w8	после	после	18	2	20
w9	pge	pge	544	481	544
w2	того	то	219	27	13
w3	как	как	121	18	119
w4	ему	он	570	142	64
w5	на	на	100	20	99
w6	пьянке	пьянок	7	1	5
w7	рассказали	рассказать	10	6	2
w8	pge	pge	544	481	544
w2	что	что	258	54	251
w3	видели	видеть	37	12	2
w4	его	он	570	142	93
w5	жену	жена	14	6	1
w6	pge	pge	544	481	544
w2	что	что	258	54	251
w3	она	она	93	22	53
w4	с	с	55	18	54
w5	кемто	NA	NA	29	NA
w6	общалась	общаться	2	2	1
w7	pge	pge	544	481	544
w2	начал	начать	3	1	2
w3	на	на	100	20	99
w4	нее	она	93	22	4
w5	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	еще	еще	55	8	57
w4	раньше	рано	2	1	1
w5	pge	pge	544	481	544
w2	он	он	570	142	350
w3	мечтает	мечтать	2	1	2
w4	что	что	258	54	251
w5	его	он	570	142	93
w6	встречают	встречать	4	1	3
w7	pge	pge	544	481	544
w2	сюда	сюда	4	1	4
w3	пойти	пойти	12	5	2
w4	pge	pge	544	481	544
w2	историю	история	19	3	7
w3	делаем	делать	4	2	1
w4	pge	pge	544	481	544
w2	этот	этот	123	113	28
w3	больше	много	15	2	16
w4	похож	похожий	6	4	3
w5	не	не	270	32	271
w6	на	на	100	20	99
w7	брата	брат	4	2	1
w8	а	а	141	26	143
w9	на	на	100	20	99
w10	отца	отец	9	6	2
w11	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	этого	это	290	10	16
w4	мальчика	мальчик	20	8	5
w5	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	его	он	570	142	93
w4	наверное	наверное	51	10	51
w5	хм	х	2	1	3
w6	дедушкибабушки	NA	NA	29	NA
w7	pge	pge	544	481	544
w2	и	и	198	32	198
w3	вот	вот	221	56	221
w4	этот	этот	123	113	28
w5	pge	pge	544	481	544
w2	папа	папа	5	2	5
w3	пришел	прийти	18	6	12
w4	забирать	забирать	2	1	1
w5	pge	pge	544	481	544
w2	с	с	55	18	54
w3	бабушкой	бабушка	3	1	2
w4	тоже	тоже	40	13	40
w5	както	NA	NA	29	NA
w6	недружелюбно	недружелюбно	1	1	1
w7	pge	pge	544	481	544
w2	относительно	относительно	2	1	2
w3	pge	pge	544	481	544
w2	мальчику	мальчик	20	8	2
w3	хорошо	хорошо	30	3	34
w4	pge	pge	544	481	544
w2	там	там	77	14	79
w3	пальмы	пальма	5	3	6
w4	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	все	всё	77	16	131
w4	как	как	121	18	119
w5	бы	бы	61	14	77
w6	ясно	ясный	1	1	2
w7	pge	pge	544	481	544
w2	эм	эм	15	1	17
w3	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	это	этот	123	113	321
w4	его	он	570	142	93
w5	там	там	77	14	79
w6	кусок	кусок	1	1	1
w7	хлеба	хлеб	2	1	2
w8	который	который	32	12	15
w9	ему	он	570	142	64
w10	дали	дать	5	1	2
w11	pge	pge	544	481	544
w2	ему	он	570	142	64
w3	плохо	плохо	7	1	7
w4	pge	pge	544	481	544
w2	тут	тут	94	32	94
w3	понятно	понятно	18	4	14
w4	что	что	258	54	251
w5	он	он	570	142	350
w6	недоволен	недоволен	1	4	4
w7	потому	потом	64	19	30
w8	что	что	258	54	251
w9	у	у	78	23	78
w10	него	он	570	142	43
w11	рука	рука	15	2	3
w12	pge	pge	544	481	544
w2	рассказывает	рассказывать	29	7	23
w3	этот	этот	123	113	28
w4	pge	pge	544	481	544
w2	может	мочь	62	12	52
w3	это	этот	123	113	321
w4	его	он	570	142	93
w5	девушка	девушка	10	7	7
w6	pge	pge	544	481	544
w2	но	но	39	3	39
w3	этот	этот	123	113	28
w4	pge	pge	544	481	544
w2	человек	человек	31	7	14
w3	под	под	2	2	2
w4	влиянием	влияние	2	2	2
w5	pge	pge	544	481	544
w2	я	я	159	14	80
w3	так	так	129	15	129
w4	понимаю	понимать	14	3	7
w5	это	этот	123	113	321
w6	какието	NA	NA	29	NA
w7	друзья	друг	7	2	1
w8	pge	pge	544	481	544
w2	и	и	198	32	198
w3	они	они	119	30	84
w4	pge	pge	544	481	544
w2	под	под	2	2	2
w3	влиянием	влияние	2	2	2
w4	алкоголя	алкоголь	7	3	5
w5	pge	pge	544	481	544
w2	может	мочь	62	12	52
w3	это	этот	123	113	321
w4	тот	тот	31	11	15
w5	самый	самый	42	12	11
w6	человек	человек	31	7	14
w7	pge	pge	544	481	544
w2	который	который	32	12	15
w3	потом	потом	64	19	34
w4	пошел	пойти	12	5	6
w5	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	женщина	женщина	9	5	5
w4	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	наверное	наверное	51	10	51
w4	вот	вот	221	56	221
w5	та	то	219	27	8
w6	вот	вот	221	56	221
w7	pge	pge	544	481	544
w2	а	а	141	26	143
w3	че	че	8	1	11
w4	он	он	570	142	350
w5	pge	pge	544	481	544
w2	этого	это	290	10	16
w3	не	не	270	32	271
w4	побил	побить	5	2	5
w5	pge	pge	544	481	544
w2	и	и	198	32	198
w3	тут	тут	94	32	94
w4	они	они	119	30	84
w5	тоже	тоже	40	13	40
w6	сидят	сидеть	18	3	6
w7	в	в	159	26	159
w8	какомто	NA	NA	29	NA
w9	pge	pge	544	481	544
w2	явно	явно	35	12	38
w3	гдето	NA	NA	29	NA
w4	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	это	этот	123	113	321
w4	этот	этот	123	113	28
w5	мальчик	мальчик	20	8	10
w6	pge	pge	544	481	544
w2	с	с	55	18	54
w3	первой	первый	5	4	3
w4	фотографии	фотография	4	2	3
w5	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	его	он	570	142	93
w4	папа	папа	5	2	5
w5	с	с	55	18	54
w6	первой	первый	5	4	3
w7	фотографии	фотография	4	2	3
w8	pge	pge	544	481	544
w2	у	у	78	23	78
w3	них	они	119	30	19
w4	все	всё	77	16	131
w5	хорошо	хорошо	30	3	34
w6	pge	pge	544	481	544
w2	продавец	продавец	4	1	3
w3	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	этот	этот	123	113	28
w4	тоже	тоже	40	13	40
w5	pge	pge	544	481	544
w2	он	он	570	142	350
w3	еще	еще	55	8	57
w4	pge	pge	544	481	544
w2	они	они	119	30	84
w3	пока	пока	17	3	17
w4	еще	еще	55	8	57
w5	только	только	12	2	12
w6	начали	начадать	1	1	1
w7	pge	pge	544	481	544
w2	хотя	хотя	9	4	9
w3	нет	нет	44	6	42
w4	тут	тут	94	32	94
w5	валяются	валяться	1	1	1
w6	уже	уже	44	14	44
w7	бутылки	бутылка	7	2	2
w8	pge	pge	544	481	544
w2	точно	точно	8	3	8
w3	pge	pge	544	481	544
w2	они	они	119	30	84
w3	поняла	поняла	1	2	2
w4	они	они	119	30	84
w5	вот	вот	221	56	221
w6	напились	напиться	1	1	1
w7	pge	pge	544	481	544
w2	потом	потом	64	19	34
w3	вот	вот	221	56	221
w4	этот	этот	123	113	28
w5	pge	pge	544	481	544
w2	а	а	141	26	143
w3	вот	вот	221	56	221
w4	этого	это	290	10	16
w5	не	не	270	32	271
w6	было	быть	289	33	42
w7	pge	pge	544	481	544
w2	были	быть	289	33	7
w3	вот	вот	221	56	221
w4	эти	этот	123	113	14
w5	двое	двое	1	1	2
w6	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	посмотри	посмотри	6	2	6
w4	pge	pge	544	481	544
w2	это	этот	123	113	321
w3	тот	тот	31	11	15
w4	же	же	44	16	44
w5	мужик	мужик	10	5	8
w6	pge	pge	544	481	544
w2	а	а	141	26	143
w3	вот	вот	221	56	221
w4	этой	этот	123	113	6
w5	женщины	женщина	9	5	1
w6	уже	уже	44	14	44
w7	нету	нет	44	6	2
w8	pge	pge	544	481	544
w2	а	а	141	26	143
w3	нет	нет	44	6	42
w4	это	этот	123	113	321
w5	pge	pge	544	481	544
w2	смотри	смотри	20	13	25
w3	pge	pge	544	481	544
w2	футболка	футболк	1	1	1
w3	одна	один	15	5	4
w4	и	и	198	32	198
w5	та	то	219	27	8
w6	же	же	44	16	44
w7	а	а	141	26	143
w8	прическа	прическа	1	1	1
w9	нет	нет	44	6	42
w10	pge	pge	544	481	544
w2	или	или	35	5	35
w3	это	этот	123	113	321
w4	его	он	570	142	93
w5	колено	коить	3	2	3
w6	pge	pge	544	481	544
w2	в	в	159	26	159
w3	общем	общий	17	3	29
w4	когото	NA	NA	29	NA
w5	из	из	21	6	21
w6	них	они	119	30	19
w7	там	там	77	14	79
w8	pge	pge	544	481	544
w2	женщина	женщина	9	5	5
w3	которую	который	32	12	2
w4	pge	pge	544	481	544
w2	ударили	ударить	9	2	1
w3	и	и	198	32	198
w4	мужчина	мужчина	6	3	4
w5	pge	pge	544	481	544
w2	тоже	тоже	40	13	40
w3	смотри	смотри	20	13	25
w4	тут	тут	94	32	94
w5	pge	pge	544	481	544
w2	она	она	93	22	53
w3	позвала	позвать	1	1	1
w4	полицию	полиция	5	2	3
w5	pge	pge	544	481	544
w2	вот	вот	221	56	221
w3	и	и	198	32	198
w4	pge	pge	544	481	544
w2	точно	точно	8	3	8
w3	смотри	смотри	20	13	25
w4	он	он	570	142	350
w5	боится	боиться	4	1	4
w6	pge	pge	544	481	544
